Filtered 37 forks: 19 included, 0 private excluded, 18 no commits excluded
fork_name,owner,stars,commits_ahead,activity_status,fork_url,last_push_date,created_date,updated_date,commit_date,commit_sha,commit_description
YouTube_bot_telegram,GreatBots,0,+9 -11,Unknown,https://github.com/GreatBots/YouTube_bot_telegram,2023-03-04 01:21:23,2023-03-03 10:25:54,2023-03-03 10:28:52,2023-03-03,e38848a,Update _start.py
YouTube_bot_telegram,GreatBots,0,+9 -11,Unknown,https://github.com/GreatBots/YouTube_bot_telegram,2023-03-04 01:21:23,2023-03-03 10:25:54,2023-03-03 10:28:52,2023-03-03,79e6134,Update README.md
tg-youtube-bot-docker,Xelio,0,+6,Unknown,https://github.com/Xelio/tg-youtube-bot-docker,2023-06-20 12:47:52,2023-06-19 14:43:11,2023-06-19 14:50:29,2023-06-19,0459d28,Add moviepy and TgCrypto to requirements.txt
tg-youtube-bot-docker,Xelio,0,+6,Unknown,https://github.com/Xelio/tg-youtube-bot-docker,2023-06-20 12:47:52,2023-06-19 14:43:11,2023-06-19 14:50:29,2023-06-19,3d76b95,Add Dockerfile
youtube-bot-telegram,KINGSKR,0,+5,Unknown,https://github.com/KINGSKR/youtube-bot-telegram,2024-04-24 07:26:51,2024-04-24 07:11:50,2024-04-24 07:26:54,2024-04-24,520669d,Update config.py
youtube-bot-telegram,KINGSKR,0,+5,Unknown,https://github.com/KINGSKR/youtube-bot-telegram,2024-04-24 07:26:51,2024-04-24 07:11:50,2024-04-24 07:26:54,2024-04-24,9938d92,Update app.json
YouTube_bot_telegram,sholoomail,0,+5 -15,Unknown,https://github.com/sholoomail/YouTube_bot_telegram,2022-12-27 16:00:27,2022-12-27 15:43:21,2022-12-27 15:47:00,2022-12-27,0ea782d,Create render.yaml
YouTube_bot_telegram,sholoomail,0,+5 -15,Unknown,https://github.com/sholoomail/YouTube_bot_telegram,2022-12-27 16:00:27,2022-12-27 15:43:21,2022-12-27 15:47:00,2022-12-27,47ce9ba,Update render.yaml
youtube-bot-telegram,RvC12345,0,+4,Unknown,https://github.com/RvC12345/youtube-bot-telegram,2024-11-10 05:20:08,2024-11-10 05:16:08,2024-11-10 05:20:11,2024-11-10,47b8828,Update config.py
youtube-bot-telegram,RvC12345,0,+4,Unknown,https://github.com/RvC12345/youtube-bot-telegram,2024-11-10 05:20:08,2024-11-10 05:16:08,2024-11-10 05:20:11,2024-11-10,e4e2d53,Update requirements.txt
youtube-bot-telegram,Hetlr88,0,+4,Unknown,https://github.com/Hetlr88/youtube-bot-telegram,2024-08-25 22:56:07,2024-08-25 22:48:01,2024-08-25 22:56:09,2024-08-25,11edb60,Update config.py
