Filtered 7000 forks: 1087 included, 0 private excluded, 5913 no commits excluded

Detailed for virattt/ai-hedge-fund
================================================================================
                                 Detailed Forks (1087 active forks with exact commit counts) (showing 1000 recent commits)                                 
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ URL                                                           ┃    Stars ┃    Forks ┃         Commits ┃ Last Push      ┃ Recent Commits                 ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┩
│ https://github.com/fuxiaoyi/ai-hedge-fund-plus                │       11 │        4 │              +1 │ 4 months ago   │ No commits available           │
│ https://github.com/kydlikebtc/ai-hedge-fund                   │        4 │        1 │              +1 │ 8 months ago   │ No commits available           │
│ https://github.com/stevensu1977/ai-hedge-fund                 │        3 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/51bitquant/ai-hedge-fund                   │        3 │        0 │              +1 │ 3 months ago   │ No commits available           │
│ https://github.com/zidong0822/ai-hedge-fund                   │        2 │        1 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/hkd987/ai-hedge-fund-live                  │        2 │        0 │              +1 │ 5 months ago   │ No commits available           │
│ https://github.com/mr-jestin-roy/SmartHedge                   │        2 │        0 │              +1 │ 5 months ago   │ No commits available           │
│ https://github.com/pycaster/ai-trader                         │        2 │        1 │              +1 │ 7 months ago   │ No commits available           │
│ https://github.com/charlesvien/ai-hedge-fund                  │        2 │        0 │              +1 │ 8 months ago   │ No commits available           │
│ https://github.com/Rai220/ai-hedge-fund                       │        1 │        0 │              +1 │ 1 week ago     │ No commits available           │
│ https://github.com/aditya-narayana-sharma/ai-hedge-fund       │        1 │        0 │              +1 │ 3 months ago   │ No commits available           │
│ https://github.com/legu91-finance/ai-hedge-fund               │        1 │        1 │              +1 │ 3 months ago   │ No commits available           │
│ https://github.com/freshlife001/ai-hedge-fund                 │        1 │        0 │              +1 │ 3 months ago   │ No commits available           │
│ https://github.com/simonator1001/ai-hedge-fund                │        1 │        0 │              +1 │ 3 months ago   │ No commits available           │
│ https://github.com/Recursivecapital/ai-hedge-fund             │        1 │        0 │              +1 │ 4 months ago   │ No commits available           │
│ https://github.com/Wanjin5508/ai-hedge-fund                   │        1 │        0 │              +1 │ 4 months ago   │ No commits available           │
│ https://github.com/I-AI-INTERGRATIONS/ai-hedge-fund           │        1 │        1 │              +1 │ 2 weeks ago    │ No commits available           │
│ https://github.com/serdarsemen/ai-hedge-fund                  │        1 │        0 │              +1 │ 2 months ago   │ No commits available           │
│ https://github.com/LoopyKirby/ai-hedge-fund                   │        1 │        0 │              +1 │ 5 months ago   │ No commits available           │
│ https://github.com/chetankhatri1/ai-hedge-fund                │        1 │        0 │              +1 │ 5 months ago   │ No commits available           │
│ https://github.com/DaveSkittles/ollama-ai-hedge-fund          │        1 │        0 │              +1 │ 5 months ago   │ No commits available           │
